REMARKS,scomminc ID,scomminc title,Session Number,order within session,Paper ID,Authors,Title,title match?
,fp0110,Reinforcement Learning for Cooperative Overtaking,2A: Reinforcement Learning 2,3,110,"Chao Yu,Xin Wang,Jianye Hao,Zhanbo Feng",Reinforcement Learning for Cooperative Overtaking,TRUE
,fp0659,Robust Temporal Difference Learning for Critical Domains,2A: Reinforcement Learning 2,4,659,"Richard Klima ,Daan Bloembergen ,Michael Kaisers ,Karl Tuyls ",Robust temporal difference learning for critical domains,FALSE
,fp0675,Urban Driving with Multi-Objective Deep Reinforcement Learning,2A: Reinforcement Learning 2,5,675,"Changjian Li ,Krzysztof Czarnecki ",Urban Driving with Multi-Objective Deep Reinforcement Learning,TRUE
,fp0913,How You Act Tells a Lot: Privacy-Leaking Attack on Deep Reinforcement Learning,2A: Reinforcement Learning 2,6,913,"Xinlei Pan ,Weiyao Wang ,Xiaoshuai Zhang ,Bo Li ,Jinfeng Yi ,Dawn Song ",How You Act Tells a Lot: Privacy-Leaking Attack on Deep Reinforcement Learning,TRUE
,fp0107,From Matching with Diversity Constraints to Matching with Regional Quotas,2B: Practicial Applications of Game Theory,1,107,"Haris Aziz,Serge Gaspers,Zhaohong Sun,Toby Walsh",From Matching with Diversity Constraints to Matching with Regional Quotas,TRUE
,fp0194,Coordinating the Crowd: Inducing Desirable Equilibria in Non-Cooperative Systems,2B: Practicial Applications of Game Theory,2,194,"David Mguni ,Joel Jennings ,Sergio Valcarcel Macua ,Emilio Sison ,Sofia Ceppi ,Enrique Munoz de Cote",Coordinating the Crowd: Inducing Desirable Equilibria in Non-Cooperative Systems,TRUE
,fp0799,Don't Put All Your Strategies in One Basket: Playing Green Security Games with Imperfect Prior Knowledge,2B: Practicial Applications of Game Theory,3,799,"Shahrzad Gholami ,Amulya Yadav ,Long Tran-Thanh ,Bistra Dilkina ,Milind Tambe ",Don't Put All Your Strategies in One Basket: Playing Green Security Games with Imperfect Prior Knowledge,TRUE
,fp0287,Incentivizing Distributive Fairness for Crowdsourcing Workers,2B: Practicial Applications of Game Theory,4,287,"Chenxi Qiu ,Anna Squicciarini  ,Benjamin Hanrahan ",Incentivizing Distributive Fairness for Crowdsourcing Workers,TRUE
,fp0593,Generalized Matching Games for International Kidney Exchange,2B: Practicial Applications of Game Theory,5,593,"Peter Biro , Daniel Paulusma , Walter Kern , Dömötör Pálvölgyi",Generalized Matching Games for International Kidney Exchange,TRUE
,fp0354,Contingent Payment Mechanisms for Resource Utilization,2B: Practicial Applications of Game Theory,6,354,"Hongyao Ma ,Reshef Meir ,David Parkes ,James Zou ",Contingent Payment Mechanisms for Resource Utilization,TRUE
,fp0317,Experiential Preference Elicitation for Autonomous Heating and Cooling Systems,2C: Knowledge Representation and Reasoning,1,317,"Andrew Perrault ,Craig Boutilier ",Experiential Preference Elicitation for Autonomous Heating and Cooling Systems,TRUE
,fp0205,Goal Recognition for Rational and Irrational Agents,2C: Knowledge Representation and Reasoning,2,205,"Peta Masters ,Sebastian Sardina ",Goal Recognition for Rational and Irrational Agents,TRUE
,fp0215,Interleaved Q-Learning with Partially Coupled Training Process,2C: Knowledge Representation and Reasoning,3,215,"Min He, Hongliang Guo ",Interleaved Q-Learning with Partially Coupled Training Process,TRUE
,fp0073,Multiagent Disjunctive Temporal Networks,2C: Knowledge Representation and Reasoning,4,73,"Nikhil Bhargava, Brian Williams",Multiagent Disjunctive Temporal Networks,TRUE
,fp0609,Soft Labeling in Stochastic Shortest Path Problems,2C: Knowledge Representation and Reasoning,5,609,"Luis Pineda ,Shlomo Zilberstein ",Soft Labeling in Stochastic Shortest Path Problems,TRUE
,fp0705,Parameterized Heuristics for Incomplete Weighted CSPs with Elicitation Costs,2C: Knowledge Representation and Reasoning,6,705,"Atena MTabakhi ,William Yeoh ,Makoto Yokoo ",Parameterized Heuristics for Incomplete Weighted CSPs with Elicitation Costs,TRUE
INCONSISTENT ID,fp060,Monotonicity Axioms in Approval-based Multi-winner Voting Rules,2D: Social Choice Theory 1,1,60,"Luis Sanchez-Fernandez, Jesus Fisteus",Monotonicity axioms in approval-based multi-winner voting rules,FALSE
,fp0310,Approximation Algorithms for BalancedCC Multiwinner Rules,2D: Social Choice Theory 1,2,310,"Piotr Faliszewski,Nimrod Talmon,Markus Brill,Frank Sommer",Approximation Algorithms for BalancedCC Multiwinner Rules,TRUE
,fp0448,Parameterized Complexity of Committee Elections with Dichotomous and Trichotomous Votes,2D: Social Choice Theory 1,3,448,"Aizhong Zhou ,Jiong Guo ,Yongjie Yang ",Parameterized Complexity of Committee Elections with Dichotomous and Trichotomous Votes,TRUE
,fp0933,Gehrlein Stability in Committee Selection: Parameterized Hardness and Algorithms,2D: Social Choice Theory 1,4,933,"Sushmita Gupta ,Pallavi Jain ,Sanjukta Roy ,Saket Saurabh ,Meirav Zehavi ",Gehrlein Stability in Committee Selection: Parameterized Hardness and Algorithms,TRUE
,fp0661,Exploring the No-Show Paradox for Condorcet Extensions Using Ehrhart Theory and Computer Simulations,2D: Social Choice Theory 1,5,661,"Felix Brandt ,Johannes Hofbauer ,Martin Strobel ",Exploring the No-Show Paradox for Condorcet Extensions Using Ehrhart Theory and Computer Simulations,TRUE
INCONSISTENT ID,fp052,Manipulating Elections by Selecting Issues,2D: Social Choice Theory 1,6,52,"Jasper Lu, David Zhang, Zinovi Rabinovich, Yevgeniy Vorobeychik, Svetlana Obraztsova",Manipulating Elections by Selecting Issues,TRUE
,fp0500,Attacking Power Indices by Manipulating Player Reliability,2E: Game Theory 1,1,500,"Gabriel Istrate ,Cosmin Bonchis ,Alin Brandusescu ",Attacking Power Indices by Manipulating Player Reliability,TRUE
,fp0286,Cooperation via Codes in Restricted Hat Guessing Games,2E: Game Theory 1,2,286,"Kai Jin  ,Ce Jin  ,Zhaoquan Gu",Cooperation via Codes in restricted Hat Guessing Games,FALSE
,fp0761,Incentivizing Collaboration in a Competition,2E: Game Theory 1,3,761,"Arunesh Sinha ,Michael Wellman ",Incentivizing Collaboration in a Competition,TRUE
,fp0434,Hedonic Diversity Games,2E: Game Theory 1,4,434,"Ayumi Igarashi ,Edith Elkind ,Robert Bredereck ",Hedonic Diversity Games,TRUE
,fp0161,Local Core Stability in Simple Symmetric Fractional Hedonic Games,2E: Game Theory 1,5,161,"Raffaello Carosi,Gianpiero Monaco,Luca Moscardelli",Local Core Stability in Simple Symmetric Fractional Hedonic Games,TRUE
,fp0061,"Many-to-Many Stable Matchings with Ties, Master Preference Lists, and Matroid Constraints",2E: Game Theory 1,6,61,Naoyuki Kamiyama,"Many-to-Many Stable Matchings with Ties, Master Preference Lists, and Matroid Constraints",TRUE
,fp0525,Strategic Responsibility Under Imperfect Information,2F: Agent Societies and Societal Issues 2,1,525,"Vahid Yazdanpanah ,Mehdi Dastani ,Wojciech Jamroga ,Natasha Alechina ,Brian Logan ",Strategic Responsibility Under Imperfect Information,TRUE
,fp0366,The Diverse Cohort Selection Problem,2F: Agent Societies and Societal Issues 2,2,366,"Candice Schumann ,Samsara Counts ,Jeffrey Foster ,John P. Dickerson ",The Diverse Cohort Selection Problem,TRUE
,fp0468,An Evolutionary Approach to Find Optimal  Policies with an Agent-Based Simulation,2F: Agent Societies and Societal Issues 2,3,468,"Jean-Daniel Kant ,Nicolas De Bufala ",An Evolutionary approach to find Optimal Policies with an Agent-Based Simulation,FALSE
,fp0257,The Volatility of Weak Ties: Co-evolution of Selection and Influence in Social Networks,2F: Agent Societies and Societal Issues 2,4,257,"Jie Gao,Grant Schoenebec ,Fang-Yi Yu ",The Volatility of Weak Ties: Co-evolution of Selection and Influence in Social Networks,TRUE
,fp0470,Covert Networks: How Hard is It to Hide?,2F: Agent Societies and Societal Issues 2,5,470,"Palash Dey ,Sourav Medya ",Covert Networks: How Hard is It to Hide?,TRUE
,fp0893,Privacy-Preserving Federated Data Sharing,2F: Agent Societies and Societal Issues 2,6,893,"Ferdinando Fioretto ,Pascal Van Hentenryck ",Privacy-Preserving Federated Data Sharing,TRUE
,fp0495,Agent Behavioral Analysis Based on Absorbing Markov Chains,3A: Learning and Adaptation,1,495,"Riccardo Sartea ,Alessandro Farinelli ,Matteo Murari ",Agent Behavioral Analysis Based on Absorbing Markov Chains,TRUE
,fp0353,Agent Embeddings: A Latent Representation for Pole-Balancing Networks,3A: Learning and Adaptation,2,353,"Oscar Chang ,Robert Kwiatkowski ,Siyuan Chen ,Hod Lipson ",Agent Embeddings: A Latent Representation for Pole-Balancing Networks,TRUE
,fp0346,Courtesy as a Means to Coordinate,3A: Learning and Adaptation,3,346,"Panayiotis Danassis ,Boi Faltings",Courtesy as a Means to Coordinate,TRUE
,fp0660,Dynamic Particle Allocation to Solve Interactive POMDP Models for Social Decision Making,3A: Learning and Adaptation,4,660,"Rohith D Vallam ,Sarthak Ahuja ,Surya Shravan Kumar Sajja ,Ritwik Chaudhuri ,Rakesh R Pimplikar ,Kushal Mukherjee ,Gyana Parija ,Ramasuri Narayanam ",Dynamic Particle Allocation to Solve Interactive POMDP Models for Social Decision Making,TRUE
,fp0087,Evolving Intrinsic Motivations for Altruistic Behavior,3A: Learning and Adaptation,5,87,"Jane Wang, Wojtek Czarnecki,Joel Leibo,Edward Hughes ,Chrisantha Fernando,Edgar Duenez",Evolving intrinsic motivations for altruistic behavior,FALSE
,fp0890,On the Pitfalls of Measuring Emergent Communication,3A: Learning and Adaptation,6,890,"Ryan Lowe ,Joelle Pineau ,Jakob Foerster ,Y-Lan Boureau ,Yann Dauphin ",On the Pitfalls of Measuring Emergent Communication,TRUE
,fp0916,What do we express without knowing? Emotion in Gesture,3B: Socially Intelligent Agents 2,1,916,"Gabriel Castillo ,Michael Neff ",What do we express without knowing? Emotion in Gesture,TRUE
,fp0044,Bootstrapped Policy Gradient for Difficulty Adaptation in Intelligent Tutoring Systems,3B: Socially Intelligent Agents 2,2,44,"Yaqian Zhang, Wooi-Boon Goh",Bootstrapped Policy Gradient for Difficulty Adaptation in Intelligent Tutoring Systems,TRUE
,fp0632,Newtonian Action Advice: Integrating Human Verbal Instruction with Reinforcement Learning,3B: Socially Intelligent Agents 2,3,632,"Samantha Krening ,Karen M. Feigh ",Newtonian Action Advice: Integrating Human Verbal Instruction with Reinforcement Learning,TRUE
,fp0725,An Optimization Approach for Structured Agent-Based Provider/Receiver Tasks,3B: Socially Intelligent Agents 2,4,725,"Kim Baraka ,Marta Couto ,Francisco Melo ,Manuela Veloso ",An optimization approach for structured agent-based provider/receiver tasks,FALSE
,fp0860,Using Reinforcement Learning to Optimize the Policies of an Intelligent Tutoring System for Interpersonal Skills Training,3B: Socially Intelligent Agents 2,5,860,"Kallirroi Georgila ,Mark Core ,Benjamin Nye ,Shamya Karumbaiah ,Daniel Auerbach ,Maya Ram ",Using Reinforcement Learning to Optimize the Policies of an Intelligent Tutoring System for Interpersonal Skills Training,TRUE
,fp0969,Reaching Cooperation using Emerging Empathy and Counter-empathy,3B: Socially Intelligent Agents 2,6,969,"Jize Chen ,Changhong Wang ",Reaching cooperation using emerging empathy and counter-empathy,FALSE
,fp0983,Evaluating the Effectiveness of Multi-Agent Organisational Paradigms in a Real-Time Strategy Environment,3C: Engineering Multiagent Systems 1,1,983,"Buster Bernstein ,Jasper Geurtz ,Vincent Koeman ",Evaluating the Effectiveness of Multi-Agent Organisational Paradigms in a Real-Time Strategy Environment,TRUE
,fp0850,Agent-Environment Interactions in Large-Scale Multi-Agent Based Simulation Systems,3C: Engineering Multiagent Systems 1,2,850,"Rym Zalila-Wenkstern ,Mohammad Al-Zinati ",Agent-Environment Interactions in Large-Scale Multi-Agent Based Simulation Systems,TRUE
,fp0334,Robust Decentralised Agent Based Approach for Microgrid Energy Management,3C: Engineering Multiagent Systems 1,3,334,"Sandra Garcia-Rodriguez ,Jorge J. Gomez-Sanz ",Robust Decentralised Agent Based Approach for Microgrid Energy Management,TRUE
,fp0187,Supple: Multiagent Communication Protocols with Causal Types,3C: Engineering Multiagent Systems 1,4,187,"Akin Gunay  ,Munindar Singh ,Amit Chopra",Supple: Multiagent Communication Protocols with Causal Types,TRUE
,fp0410,Engineering Scalable Distributed Environments and Organizations for MAS,3C: Engineering Multiagent Systems 1,5,410,"Alessandro Ricci ,Andrei Ciortea ,Jomi Fred Hubner ,Rafael H. Bordini ,Olivier Boissier ,Simon Meyer ",Engineering Scalable Distributed Environments and Organizations for MAS,TRUE
,fp0676,Decentralised Planning for Multi-Agent Programming Platforms,3C: Engineering Multiagent Systems 1,6,676,"Rafael Caue Cardoso ,Rafael H. Bordini ",Decentralised Planning for Multi-Agent Programming Platforms,TRUE
,fp0692,Complexity of Manipulation in Premise-Based Judgment Aggregation with Simple Formulas,3D: Social Choice Theory 2,1,692,"Robert Bredereck ,Junjie Luo ",Complexity of Manipulation in Premise-Based Judgment Aggregation with Simple Formulas,TRUE
,fp0512,Multi-Issue Opinion Diffusion under Constraints,3D: Social Choice Theory 2,2,512,"Sirin Botan ,Umberto Grandi ,Laurent Perrussel ",Multi-Issue Opinion Diffusion under Constraints,TRUE
,fp0582,Multiple Assignment Problems under Lexicographic Preferences,3D: Social Choice Theory 2,3,582,"Hadi Hosseini ,Kate Larson ",Multiple Assignment Problems under Lexicographic Preferences,TRUE
,fp0281,Towards Completing the Puzzle: Solving Open Problems for Control in Elections,3D: Social Choice Theory 2,4,281,"Gabor Erdelyi ,Christian Reger,Yongjie Yang",Completing the Puzzle: Solving Open Problems for Control in Elections,FALSE
,fp0041,Testing Preferential Domains using Sampling,3D: Social Choice Theory 2,5,41,"Palash Dey , Swaprava Nath , Garima Shakya",Testing Preferential Domains using Sampling,TRUE
,fp0145,"Your 2 is My 1, Your 3 is My 9: Handling Arbitrary Miscalibrations in Ratings",3D: Social Choice Theory 2,6,145,"Jingyan Wang,Nihar Shah","Your 2 is My 1, Your 3 is My 9: Handling Arbitrary Miscalibrations in Ratings",TRUE
,fp0177,On the Performance of Stable Outcomes in Modified Fractional Hedonic Games with Egalitarian Social Welfare,3E: Game Theory 2,1,177,"Gianpiero Monaco,Luca Moscardelli,Yllka Velaj",On the Performance of Stable Outcomes in Modified Fractional Hedonic Games with Egalitarian Social Welfare,TRUE
,fp0536,Testing Individual-Based Stability Properties in Graphical Hedonic Games,3E: Game Theory 2,2,536,"Hendrik Fichtenberger ,Anja Rey ",Testing Individual-Based Stability Properties in Graphical Hedonic Games,TRUE
,fp0503,Stability in FEN-Hedonic Games for Single-Player Deviations,3E: Game Theory 2,3,503,"Anna Maria Kerkmann , Jörg Rothe",Stability in FEN-Hedonic Games for Single-Player Deviations,TRUE
,fp0624,"Efficiency, Sequenceability and Deal-Optimality in Fair Division of Indivisible Goods",3E: Game Theory 2,4,624,"Aurélie Beynier, Sylvain Bouveret , Michel Lemaître , Nicolas Maudet, Simon Rey , Parham Shams","Efficiency, Sequenceability and Deal-Optimality in Fair Division of Indivisible Goods",TRUE
,fp0282,Computing Optimal <i>Ex Ante</i> Correlated Equilibria in Two-Player Sequential Games,3E: Game Theory 2,5,282,"Andrea Celli  ,Nicola Gatti ,Stefano Coniglio",Computing Optimal Ex Ante Correlated Equilibria in Two-Player Sequential Games,FALSE
,fp0589,Efficient Allocation of Free Stuff,3E: Game Theory 2,6,589,"Yossi Azar ,Allan Borodin ,Michal Feldman ,Amos Fiat ,Kineret Segal ",Efficient Allocation of Free Stuff,TRUE
,fp0417,A Representation Theorem for Reasoning in First-Order Multi-Agent Knowledge Bases,3F: Logics for Agents,1,417,"Christoph Schwering ,Maurice Pagnucco ",A Representation Theorem for Reasoning in First-Order Multi-Agent Knowledge Bases,TRUE
,fp1005,Convergence of Multi-Agent Learning with a Finite Step Size in General-Sum Games,3F: Logics for Agents,2,1005,"Xinliang Song ,Tonghan Wang ,Chongjie Zhang ",Convergence of Multi-Agent Learning with a Finite Step Size in General-Sum Games,TRUE
,fp0945,Decision Procedures for Epistemic Logic Exploiting Belief Bases,3F: Logics for Agents,3,945,"Emiliano Lorini ,Fabian Romero ",Decision Procedures for Epistemic Logic Exploiting Belief Bases,TRUE
,fp0504,Groups Versus Coalitions: On the Relative Expressivity of GAL and CAL,3F: Logics for Agents,4,504,"Tim French ,Rustam Galimullin ,Hans van Ditmarsch ,Natasha Alechina ",Groups versus Coalitions: On the relative expressivity of Group Announcement Logic and Coalition Announcement Logic,FALSE
,fp0991,Natural Strategic Ability under Imperfect Information,3F: Logics for Agents,5,991,"Wojciech Jamroga ,Vadim Malvone ,Aniello Murano ",Natural Strategic Ability under Imperfect Information,TRUE
,fp0221,Reasoning about Changes of Observational Power in Logics of Knowledge and Time,3F: Logics for Agents,6,221,"Aurèle Barrière , Bastien Maubert, Aniello Murano, Sasha Rubin",Reasoning about Changes of Observational Power in Logics of Knowledge and Time,TRUE
,fp0464,A Cooperative Multi-Agent Reinforcement Learning Framework for Resource Balancing in Complex Logistics Network,4A: Learning Agent Capabilities,1,464,"Xihan Li ,Jia Zhang ,Jiang Bian ,Tie-Yan Liu ,Yunhai Tong ",A Cooperative Multi-Agent Reinforcement Learning Framework for Resource Balancing in Complex Logistics Network,TRUE
,fp1007,Context-Aware Policy Reuse,4A: Learning Agent Capabilities,2,1007,"Siyuan Li ,Fangda Gu ,Guangxiang Zhu ,Chongjie Zhang ",Context-Aware Policy Reuse,TRUE
,fp0552,Playing Atari with Six Neurons,4A: Learning Agent Capabilities,3,552,"Giuseppe Cuccu , Julian Togelius  , Philippe Cudré-Mauroux",Playing Atari with Six Neurons,TRUE
,fp0206,PLOTS: Procedure Learning from Observations using subTask Structure,4A: Learning Agent Capabilities,4,206,"Tong Mu,Karan Goel,Emma Brunskill",PLOTS: Procedure Learning from Observations using subTask Structure,TRUE
,fp0720,Reducing Sampling Error in Policy Gradient Learning,4A: Learning Agent Capabilities,5,720,"Josiah Hanna ,Peter Stone ",Reducing Sampling Error in Policy Gradient Learning,TRUE
not clear if title formatting will work…?,fp0355,TBQ(&#963;): Improving Efficiency of Trace Utilization for Off-Policy Reinforcement Learning,4A: Learning Agent Capabilities,6,355,"Longxiang Shi ,Shijian Li ,Longbing Cao ,Long Yang ,Gang Pan ",TBQ(\sigma): Improving Efficiency of Traces Utilization for Off-Policy Reinforcement Learning,FALSE
,fp0549,A Grounded Interaction Protocol for Explainable Artificial Intelligence,4B: Multimodal Interaction,1,549,"Prashan Madumal ,Tim Miller ,Liz Sonenberg ,Frank Vetere ",A Grounded Interaction Protocol for Explainable Artificial Intelligence,TRUE
,fp0255,Community Regularization of Visually-Grounded Dialog,4B: Multimodal Interaction,2,255,"Swaminathan Gurumurthy ,Katia Sycara,Akshat Agarwal  ,Vasu Sharma ,Mike Lewis",Community Regularization of Visually Grounded Dialog,FALSE
